bill_number,bill_url,title,committees,latest_action,status,sponsor_name,party,state,district,cosponsors,introduced_date
H.R.6805,https://www.congress.gov/bill/119th-congress/house-bill/6805?s=1&r=74,Next Generation Nuclear Deployment Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Moore, Tim",R,NC,14,0,12/17/2025
H.R.6742,https://www.congress.gov/bill/119th-congress/house-bill/6742?s=1&r=75,Q–LEAP,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/16/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,2,12/16/2025
H.R.6709,https://www.congress.gov/bill/119th-congress/house-bill/6709?s=1&r=76,Office of Fusion Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 12/15/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Beyer, Donald S.",D,VA,8,6,12/15/2025
H.R.6667,https://www.congress.gov/bill/119th-congress/house-bill/6667?s=1&r=77,PFAS Research and Development Reauthorization Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology; Transportation and Infrastructure",Latest Action: House - 02/02/2026 Referred to the Subcommittee on Water Resources and Environment. ( All Actions ),Introduced,"Pappas, Chris",D,NH,1,1,12/11/2025
H.R.6647,https://www.congress.gov/bill/119th-congress/house-bill/6647?s=1&r=78,Drone Safety Enhancement Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/11/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Kean, Thomas H.",R,NJ,7,1,12/11/2025
H.R.6638,https://www.congress.gov/bill/119th-congress/house-bill/6638?s=1&r=79,"To require a report on merits and options for establishing an institute relating to space resources, and for other purposes.","Committees: House - Science, Space, and Technology","Latest Action: House - 12/11/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,1,12/11/2025
H.R.6637,https://www.congress.gov/bill/119th-congress/house-bill/6637?s=1&r=80,To advance bipartisan priorities.,"Committees: House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Transportation and Infrastructure; Science, Space, and Technology; Agriculture; Appropriations; Armed Services; Budget; Rules; Ethics; Financial Services; Foreign Affairs; Homeland Security; House Administration; Judiciary; Intelligence (Permanent Select); Oversight and Government Reform; Small Business; Veterans' Affairs",Latest Action: House - 01/15/2026 Referred to the Subcommittee on Oversight and Investigations. ( All Actions ),Introduced,"Fitzpatrick, Brian K.",R,PA,1,0,12/11/2025
H.R.6636,https://www.congress.gov/bill/119th-congress/house-bill/6636?s=1&r=81,To advance sensible priorities.,"Committees: House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Transportation and Infrastructure; Science, Space, and Technology; Agriculture; Appropriations; Armed Services; Budget; Rules; Ethics; Financial Services; Foreign Affairs; Homeland Security; House Administration; Judiciary; Intelligence (Permanent Select); Oversight and Government Reform; Small Business; Veterans' Affairs",Latest Action: House - 01/15/2026 Referred to the Subcommittee on Disability Assistance and Memorial Affairs. ( All Actions ),Introduced,"Fitzpatrick, Brian K.",R,PA,1,0,12/11/2025
H.R.6621,https://www.congress.gov/bill/119th-congress/house-bill/6621?s=1&r=82,Workforce of the Future Act of 2025,"Committees: House - Education and Workforce; Science, Space, and Technology","Latest Action: House - 12/11/2025 Referred to the Committee on Education and Workforce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ( All Actions )",Introduced,"Cleaver, Emanuel",D,MO,5,9,12/11/2025
H.R.6531,https://www.congress.gov/bill/119th-congress/house-bill/6531?s=1&r=83,Bridges not Bumpers Act of 2025,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology",Latest Action: House - 02/02/2026 Referred to the Subcommittee on Highways and Transit. ( All Actions ),Introduced,"Latimer, George",D,NY,16,10,12/09/2025
H.R.6487,https://www.congress.gov/bill/119th-congress/house-bill/6487?s=1&r=84,SECURE STEM Act,"Committees: House - Judiciary; Science, Space, and Technology","Latest Action: House - 12/05/2025 Referred to the Committee on the Judiciary, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Harrigan, Pat",R,NC,10,4,12/05/2025
H.R.6461,https://www.congress.gov/bill/119th-congress/house-bill/6461?s=1&r=85,READ AI Models Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/04/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McBride, Sarah",,,,7,12/04/2025
H.R.6402,https://www.congress.gov/bill/119th-congress/house-bill/6402?s=1&r=86,Ensuring Safe and Ethical AI Development Through SAFE AI Research Grants,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/03/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Kiley, Kevin",R,CA,3,0,12/03/2025
H.R.6366,https://www.congress.gov/bill/119th-congress/house-bill/6366?s=1&r=87,Boosting the Rural STEM Pipeline Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/02/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Riley, Josh",D,NY,19,5,12/02/2025
H.R.6360,https://www.congress.gov/bill/119th-congress/house-bill/6360?s=1&r=88,GENESIS Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/02/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Kennedy, Mike",R,UT,3,2,12/02/2025
H.R.6351,https://www.congress.gov/bill/119th-congress/house-bill/6351?s=1&r=89,Advancing Regional Quantum Hubs Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 12/02/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Gillen, Laura",D,NY,4,1,12/02/2025
H.R.6315,https://www.congress.gov/bill/119th-congress/house-bill/6315?s=1&r=90,SECURE IT Act,"Committees: House - House Administration; Science, Space, and Technology","Latest Action: House - 11/25/2025 Referred to the Committee on House Administration, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of... ( All Actions )",Introduced,"Valadao, David G.",R,CA,22,1,11/25/2025
H.R.6304,https://www.congress.gov/bill/119th-congress/house-bill/6304?s=1&r=91,AI for America Act,"Committees: House - Science, Space, and Technology; Energy and Commerce","Latest Action: House - 11/25/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Kiggans, Jennifer A.",R,VA,2,1,11/25/2025
H.R.6207,https://www.congress.gov/bill/119th-congress/house-bill/6207?s=1&r=92,Chip EQUIP Act,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 11/20/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Lofgren, Zoe",D,CA,18,10,11/20/2025
H.R.6184,https://www.congress.gov/bill/119th-congress/house-bill/6184?s=1&r=93,NOAA Data Preservation Act,"Committees: House - Natural Resources; Science, Space, and Technology","Latest Action: House - 11/20/2025 Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Elfreth, Sarah",D,MD,3,17,11/20/2025
H.R.6177,https://www.congress.gov/bill/119th-congress/house-bill/6177?s=1&r=94,Grid Research and Development Act,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 11/20/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Casten, Sean",D,IL,6,12,11/20/2025
H.R.6159,https://www.congress.gov/bill/119th-congress/house-bill/6159?s=1&r=95,AI for ALL Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 11/19/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Rivas, Luz M.",D,CA,29,3,11/19/2025
H.R.6154,https://www.congress.gov/bill/119th-congress/house-bill/6154?s=1&r=96,Regional Leadership in Wildland Fire Research Act of 2025,"Committees: House - Natural Resources; Agriculture; Science, Space, and Technology","Latest Action: House - 05/20/2026 Referred to the Subcommittee on Conservation, Research, and Biotechnology. ( All Actions )",Introduced,"Min, Dave",D,CA,47,1,11/19/2025
H.R.6094,https://www.congress.gov/bill/119th-congress/house-bill/6094?s=1&r=97,Fire Innovation Unit Act,"Committees: House - Natural Resources; Agriculture; Science, Space, and Technology",Latest Action: House - 12/02/2025 Referred to the Subcommittee on Forestry and Horticulture. ( All Actions ),Introduced,"Kim, Young",R,CA,40,2,11/18/2025
H.R.6089,https://www.congress.gov/bill/119th-congress/house-bill/6089?s=1&r=98,Biomanufacturing Excellence Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 11/18/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Houlahan, Chrissy",D,PA,6,15,11/18/2025
H.R.6039,https://www.congress.gov/bill/119th-congress/house-bill/6039?s=1&r=99,Commonsense Legislating Act,"Committees: House - Ways and Means; Small Business; Appropriations; Ethics; Education and Workforce; Judiciary; Veterans' Affairs; Natural Resources; House Administration; Science, Space, and Technology; Energy and Commerce; Financial Services; Transportation and Infrastructure; Oversight and Government Reform; Agriculture; Armed Services; Foreign Affairs; Intelligence (Permanent Select); Homeland Security; Rules; Budget",Latest Action: House - 11/20/2025 Referred to the Subcommittee on Health. ( All Actions ),Introduced,"McGovern, James P.",D,MA,2,0,11/12/2025
H.R.5855,https://www.congress.gov/bill/119th-congress/house-bill/5855?s=1&r=100,Measuring the Cost of Disasters Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 10/28/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Neguse, Joe",D,CO,2,3,10/28/2025
H.R.5827,https://www.congress.gov/bill/119th-congress/house-bill/5827?s=1&r=101,"To advance bipartisan, common sense solutions.","Committees: House - Ways and Means; Energy and Commerce; Natural Resources; Education and Workforce; Transportation and Infrastructure; Science, Space, and Technology; Agriculture; Appropriations; Armed Services; Budget; Rules; Ethics; Financial Services; Foreign Affairs; Homeland Security; House Administration; Judiciary; Intelligence (Permanent Select); Oversight and Government Reform; Small Business; Veterans' Affairs",Latest Action: House - 10/27/2025 Referred to the Subcommittee on Cybersecurity and Infrastructure Protection. ( All Actions ),Introduced,"Suozzi, Thomas R.",D,NY,3,0,10/24/2025
H.R.5782,https://www.congress.gov/bill/119th-congress/house-bill/5782?s=1&r=102,Western Wildfire Support Act of 2025,"Committees: House - Natural Resources; Agriculture; Transportation and Infrastructure; Science, Space, and Technology; Armed Services",Latest Action: House - 12/05/2025 Referred to the Subcommittee on Forestry and Horticulture. ( All Actions ),Introduced,"Neguse, Joe",D,CO,2,0,10/17/2025
H.R.5777,https://www.congress.gov/bill/119th-congress/house-bill/5777?s=1&r=103,National Fire Academy RESCUE Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 10/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McClain Delaney, April",D,MD,6,12,10/17/2025
H.R.5712,https://www.congress.gov/bill/119th-congress/house-bill/5712?s=1&r=104,Quantum LEAP Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 10/08/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Fleischmann, Charles J. ""Chuck""",R,TN,3,0,10/08/2025
H.R.5692,https://www.congress.gov/bill/119th-congress/house-bill/5692?s=1&r=105,Marine Energy Technologies Acceleration Act,"Committees: House - Science, Space, and Technology; Energy and Commerce; Natural Resources; Education and Workforce","Latest Action: House - 10/06/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committees on Energy and Commerce, Natural Resources, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such... ( All Actions )",Introduced,"Barragán, Nanette Diaz",D,CA,44,3,10/06/2025
H.R.5650,https://www.congress.gov/bill/119th-congress/house-bill/5650?s=1&r=106,Weatherization Resilience and Adaptation Program Act,"Committees: House - Financial Services; Science, Space, and Technology","Latest Action: House - 09/30/2025 Referred to the Committee on Financial Services, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Mullin, Kevin",D,CA,15,10,09/30/2025
H.R.5626,https://www.congress.gov/bill/119th-congress/house-bill/5626?s=1&r=107,Taiwan and American Space Assistance Act of 2025,"Committees: House - Science, Space, and Technology; Foreign Affairs","Latest Action: House - 09/30/2025 Referred to the Committee on Science, Space, and Technology , and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Hill, J. French",R,AR,2,18,09/30/2025
H.R.5622,https://www.congress.gov/bill/119th-congress/house-bill/5622?s=1&r=108,National Gun Violence Research Act of 2025,"Committees: House - Judiciary; Science, Space, and Technology; Energy and Commerce","Latest Action: House - 09/30/2025 Referred to the Committee on the Judiciary, and in addition to the Committees on Science, Space, and Technology , and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the... ( All Actions )",Introduced,"Foushee, Valerie P.",D,NC,4,13,09/30/2025
H.R.5602,https://www.congress.gov/bill/119th-congress/house-bill/5602?s=1&r=109,LAUNCH Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/26/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Pfluger, August",R,TX,11,1,09/26/2025
H.R.5597,https://www.congress.gov/bill/119th-congress/house-bill/5597?s=1&r=110,BECCS Advancement Commission Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology; Agriculture; Natural Resources",Latest Action: House - 12/02/2025 Referred to the Subcommittee on Forestry and Horticulture. ( All Actions ),Introduced,"Moore, Blake D.",R,UT,1,2,09/26/2025
H.R.5584,https://www.congress.gov/bill/119th-congress/house-bill/5584?s=1&r=111,LIFT AI Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/26/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Kean, Thomas H.",R,NJ,7,8,09/26/2025
H.R.5575,https://www.congress.gov/bill/119th-congress/house-bill/5575?s=1&r=112,FASTER Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/26/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Frankel, Lois",D,FL,22,7,09/26/2025
H.R.5456,https://www.congress.gov/bill/119th-congress/house-bill/5456?s=1&r=113,NWR Modernization Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/18/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Bice, Stephanie I.",R,OK,5,4,09/18/2025
H.R.5447,https://www.congress.gov/bill/119th-congress/house-bill/5447?s=1&r=114,SPACEPORT Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/17/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Strong, Dale W.",R,AL,5,2,09/17/2025
H.R.5410,https://www.congress.gov/bill/119th-congress/house-bill/5410?s=1&r=115,Critical Mineral Brine Extraction Research and Development Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/16/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Schweikert, David",R,AZ,1,0,09/16/2025
H.R.5388,https://www.congress.gov/bill/119th-congress/house-bill/5388?s=1&r=116,American Artificial Intelligence Leadership and Uniformity Act,"Committees: House - Science, Space, and Technology; Foreign Affairs; Armed Services; Homeland Security; Oversight and Government Reform; Judiciary; Energy and Commerce; Small Business; Education and Workforce; Financial Services; Veterans' Affairs; Transportation and Infrastructure",Latest Action: House - 12/19/2025 Referred to the Subcommittee on Oversight and Investigations. ( All Actions ),Introduced,"Baumgartner, Michael",R,WA,5,0,09/16/2025
H.R.5351,https://www.congress.gov/bill/119th-congress/house-bill/5351?s=1&r=117,NSF AI Education Act of 2025,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/15/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Fong, Vince",R,CA,20,26,09/15/2025
H.R.5332,https://www.congress.gov/bill/119th-congress/house-bill/5332?s=1&r=118,Liquid Cooling for AI Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 09/11/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Obernolte, Jay",R,CA,23,11,09/11/2025
H.R.5326,https://www.congress.gov/bill/119th-congress/house-bill/5326?s=1&r=119,FLAME Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/11/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McClain Delaney, April",D,MD,6,16,09/11/2025
H.R.5289,https://www.congress.gov/bill/119th-congress/house-bill/5289?s=1&r=120,Semiconductor Sovereignty Act,"Committees: House - Foreign Affairs; Energy and Commerce; Science, Space, and Technology","Latest Action: House - 09/10/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ( All Actions )",Introduced,"Vindman, Eugene Simon",D,VA,7,2,09/10/2025
H.R.5288,https://www.congress.gov/bill/119th-congress/house-bill/5288?s=1&r=121,AI Sovereignty Act,"Committees: House - Foreign Affairs; Energy and Commerce; Science, Space, and Technology","Latest Action: House - 09/10/2025 Referred to the Committee on Foreign Affairs, and in addition to the Committees on Energy and Commerce, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within... ( All Actions )",Introduced,"Vindman, Eugene Simon",D,VA,7,2,09/10/2025
H.R.5285,https://www.congress.gov/bill/119th-congress/house-bill/5285?s=1&r=122,TWISTER Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/10/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Stevens, Haley M.",D,MI,11,0,09/10/2025
H.R.5253,https://www.congress.gov/bill/119th-congress/house-bill/5253?s=1&r=123,Protecting American Research and Talent Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/10/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Barr, Andy",R,KY,6,0,09/10/2025
H.R.5227,https://www.congress.gov/bill/119th-congress/house-bill/5227?s=1&r=124,Unleashing Low-Cost Rural AI Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/09/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Costa, Jim",D,CA,21,6,09/09/2025
H.R.5212,https://www.congress.gov/bill/119th-congress/house-bill/5212?s=1&r=125,SBIR/STTR Innovation Workforce Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 09/08/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Scholten, Hillary J.",D,MI,3,0,09/08/2025
H.R.5157,https://www.congress.gov/bill/119th-congress/house-bill/5157?s=1&r=126,Streamlining American Manufacturing Strategy Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/04/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Rivas, Luz M.",D,CA,29,1,09/04/2025
H.R.5122,https://www.congress.gov/bill/119th-congress/house-bill/5122?s=1&r=127,NASA Talent Exchange Program Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 09/03/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Sykes, Emilia Strong",D,OH,13,2,09/03/2025
H.R.5104,https://www.congress.gov/bill/119th-congress/house-bill/5104?s=1&r=128,Preventing HEAT Illness and Deaths Act of 2025,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 09/03/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Bonamici, Suzanne",D,OR,1,12,09/03/2025
H.R.5100,https://www.congress.gov/bill/119th-congress/house-bill/5100?s=1&r=129,"To extend the SBIR and STTR programs, and for other purposes.","Committees: House - Small Business; Science, Space, and Technology | Senate - Small Business and Entrepreneurship",Latest Action: Senate - 09/16/2025 Received in the Senate and Read twice and referred to the Committee on Small Business and Entrepreneurship. ( All Actions ),Passed House,"Williams, Roger",R,TX,25,18,09/02/2025
H.R.5089,https://www.congress.gov/bill/119th-congress/house-bill/5089?s=1&r=130,Weather Act Reauthorization Act of 2025,"Committees: House - Science, Space, and Technology; Natural Resources",Latest Action: House - 09/10/2025 Ordered to be Reported (Amended) by Voice Vote. ( All Actions ),Introduced,"Lucas, Frank D.",R,OK,3,26,09/02/2025
H.R.5002,https://www.congress.gov/bill/119th-congress/house-bill/5002?s=1&r=131,Protect Americans from Climate Disasters Act,"Committees: House - Natural Resources; Science, Space, and Technology","Latest Action: House - 08/19/2025 Referred to the Committee on Natural Resources, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Neguse, Joe",D,CO,2,12,08/19/2025
H.R.5001,https://www.congress.gov/bill/119th-congress/house-bill/5001?s=1&r=132,SBIR/STTR Oversight Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 08/19/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"McGarvey, Morgan",D,KY,3,0,08/19/2025
H.R.4999,https://www.congress.gov/bill/119th-congress/house-bill/4999?s=1&r=133,Fusion Workforce Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 08/19/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Lofgren, Zoe",D,CA,18,1,08/19/2025
H.R.4990,https://www.congress.gov/bill/119th-congress/house-bill/4990?s=1&r=134,Wildfire Grid Resiliency Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 08/15/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Torres, Norma J.",D,CA,35,0,08/15/2025
H.R.4942,https://www.congress.gov/bill/119th-congress/house-bill/4942?s=1&r=135,Quantum Encryption Readiness and Resilience Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 08/08/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Subramanyam, Suhas",D,VA,10,4,08/08/2025
H.R.4937,https://www.congress.gov/bill/119th-congress/house-bill/4937?s=1&r=136,EQUAL Parks Act,"Committees: House - Natural Resources; Agriculture; Transportation and Infrastructure; Science, Space, and Technology","Latest Action: House - 08/08/2025 Referred to the Committee on Natural Resources, and in addition to the Committees on Agriculture, Transportation and Infrastructure, and Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of... ( All Actions )",Introduced,"Randall, Emily",D,WA,6,7,08/08/2025
H.R.4906,https://www.congress.gov/bill/119th-congress/house-bill/4906?s=1&r=137,USA Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 08/05/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"Webster, Daniel",R,FL,11,1,08/05/2025
H.R.4904,https://www.congress.gov/bill/119th-congress/house-bill/4904?s=1&r=138,PHASE Act of 2025,"Committees: House - Transportation and Infrastructure; Science, Space, and Technology",Latest Action: House - 08/06/2025 Referred to the Subcommittee on Highways and Transit. ( All Actions ),Introduced,"Torres, Norma J.",D,CA,35,2,08/05/2025
H.R.4842,https://www.congress.gov/bill/119th-congress/house-bill/4842?s=1&r=139,SBIR Commercialization Improvement Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 08/01/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Cisneros, Gilbert Ray",D,CA,31,0,08/01/2025
H.R.4823,https://www.congress.gov/bill/119th-congress/house-bill/4823?s=1&r=140,Promoting Free and Fair Elections Act of 2025,"Committees: House - House Administration; Judiciary; Oversight and Government Reform; Science, Space, and Technology; Education and Workforce","Latest Action: House - 07/29/2025 Referred to the Committee on House Administration, and in addition to the Committees on the Judiciary, Oversight and Government Reform, Science, Space, and Technology , and Education and Workforce, for a period to be subsequently determined by the Speaker, in each... ( All Actions )",Introduced,"Tenney, Claudia",R,NY,24,0,07/29/2025
H.R.4777,https://www.congress.gov/bill/119th-congress/house-bill/4777?s=1&r=141,INNOVATE Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 07/25/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Williams, Roger",R,TX,25,1,07/25/2025
H.R.4775,https://www.congress.gov/bill/119th-congress/house-bill/4775?s=1&r=142,SBIR/STTR Foreign Interference Safeguard Act,"Committees: House - Small Business; Science, Space, and Technology","Latest Action: House - 07/25/2025 Referred to the Committee on Small Business, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Tran, Derek",D,CA,45,1,07/25/2025
H.R.4729,https://www.congress.gov/bill/119th-congress/house-bill/4729?s=1&r=143,To codify Executive Order 14292 relating to improving the safety and security of biological research.,"Committees: House - Energy and Commerce; Science, Space, and Technology","Latest Action: House - 07/23/2025 Referred to the Committee on Energy and Commerce, and in addition to the Committee on Science, Space, and Technology , for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the... ( All Actions )",Introduced,"Self, Keith",R,TX,3,0,07/23/2025
H.R.4714,https://www.congress.gov/bill/119th-congress/house-bill/4714?s=1&r=144,End Polluter Welfare Act of 2025,"Committees: House - Ways and Means; Transportation and Infrastructure; Natural Resources; Science, Space, and Technology; Energy and Commerce; Agriculture; Appropriations; Financial Services; Foreign Affairs","Latest Action: House - 07/23/2025 Referred to the Committee on Ways and Means, and in addition to the Committees on Transportation and Infrastructure, Natural Resources, Science, Space, and Technology , Energy and Commerce, Agriculture, Appropriations, Financial Services, and Foreign Affairs, for a... ( All Actions )",Introduced,"Omar, Ilhan",D,MN,5,22,07/23/2025
H.R.4702,https://www.congress.gov/bill/119th-congress/house-bill/4702?s=1&r=145,National Fire Academy Reporting Act,"Committees: House - Science, Space, and Technology","Latest Action: House - 07/23/2025 Referred to the House Committee on Science, Space, and Technology . ( All Actions )",Introduced,"McClain Delaney, April",D,MD,6,23,07/23/2025
